Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
1,1,BAT1,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
2,2,BAT2,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
3,3,BAT3,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
3,3,BAT4,Li-ion battery,1,932.5,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
4,4,BAT5,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
5,5,BAT6,Li-ion battery,3,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
6,6,BAT7,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
6,6,BAT8,Li-ion battery,1,211,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
6,6,BAT9,Li-ion battery,1,10,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
7,7,BAT10,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
7,7,BAT11,Li-ion battery,1,50,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
7,7,BAT12,Li-ion battery,1,290,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
8,8,BAT13,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
8,8,BAT14,Li-ion battery,1,30,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
8,8,BAT15,Li-ion battery,1,60,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
9,9,BAT16,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
9,9,BAT17,Li-ion battery,1,20,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
9,9,BAT18,Li-ion battery,1,20,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
10,10,BAT19,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
10,10,BAT20,Li-ion battery,1,144,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
10,10,BAT21,Li-ion battery,1,85,0,0,2,0.92,0.92,1.40E-05,15,15,2050,2050
10,10,BAT22,Li-ion battery,1,10,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
11,11,BAT23,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
12,12,BAT24,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
12,12,BAT25,Li-ion battery,1,332,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
13,13,BAT26,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
13,13,BAT27,Li-ion battery,1,37,0,0,3,0.92,0.92,1.40E-05,15,15,2050,2050
13,13,BAT28,Li-ion battery,1,210,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
13,13,BAT29,Li-ion battery,1,75,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
13,13,BAT30,Li-ion battery,1,35,0,0,5,0.92,0.92,1.40E-05,15,15,2050,2050
14,14,BAT31,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
14,14,BAT32,Li-ion battery,1,820,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
14,14,BAT33,Li-ion battery,1,440,0,0,2,0.92,0.92,1.40E-05,15,15,2050,2050
14,14,BAT34,Li-ion battery,1,30,0,0,3,0.92,0.92,1.40E-05,15,15,2050,2050
14,14,BAT35,Li-ion battery,1,70,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
15,15,BAT36,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
15,15,BAT37,Li-ion battery,1,1780,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
15,15,BAT38,Li-ion battery,1,300,0,0,5,0.92,0.92,1.40E-05,15,15,2050,2050
15,15,BAT39,Li-ion battery,1,125,0,0,2,0.92,0.92,1.40E-05,15,15,2050,2050
15,15,BAT40,Li-ion battery,1,30,0,0,1,0.92,0.92,1.40E-05,15,15,2050,2050
16,16,BAT41,Li-ion battery,0,10,100,500,4,0.92,0.92,1.40E-05,15,15,2050,2050
16,16,BAT42,Li-ion battery,1,60,0,0,4,0.92,0.92,1.40E-05,15,15,2050,2050
1,1,BAT43,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
2,2,BAT44,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
3,3,BAT45,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
4,4,BAT46,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
5,5,BAT47,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
6,6,BAT48,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
7,7,BAT49,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
8,8,BAT50,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
9,9,BAT51,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
10,10,BAT52,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
11,11,BAT53,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
12,12,BAT54,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
13,13,BAT55,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
14,14,BAT56,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
15,15,BAT57,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050
16,16,BAT58,Long-duration storage,0,50,4,20,720,0.6305,0.53,1.10E-08,30,30,2050,2050