CZ,Net Cost [Mid],Net Cost [Low],Net Cost [High],Appliance Count,Rep Day Consumption [MWh],Upgrade Cost,Elec Appliance Cost [High],Gas Appliance Cost [High],Elec Appliance Cost [Low],Gas Appliance Cost [Low]
1,1129.645698,1514.844339,140.2933997,66234,1.23313,853,2450,3130,2434,1419
2,864.6246859,1210.620243,-24.03758604,372165,1.37285,647,2450,3130,2434,1419
3,976.3703244,1335.886529,52.98133543,1281848,1.32122,750,2450,3130,2434,1419
4,888.2436155,1241.90306,-20.10274738,507872,1.3431,653,2450,3130,2434,1419
5,927.2878914,1287.4365,2.274622792,98545,1.3189,683,2450,3130,2434,1419
6,1146.974876,1565.418091,72.23651291,954291,1.13516,762,2450,3130,2434,1419
7,1073.844982,1504.652724,-32.65069201,694059,1.10258,644,2450,3130,2434,1419
8,1090.902682,1509.463889,15.86126679,1022535,1.13484,698,2450,3130,2434,1419
9,1142.266535,1565.493215,55.24221931,1606558,1.12233,742,2450,3130,2434,1419
10,785.1056164,1183.104728,-237.1236814,1091737,1.19347,397,2450,3130,2434,1419
11,886.911108,1253.882168,-55.62508691,409271,1.29438,608,2450,3130,2434,1419
12,882.3082764,1242.976462,-44.03948368,1363398,1.317,622,2450,3130,2434,1419
13,987.534687,1405.981588,-87.21314364,736380,1.13515,581,2450,3130,2434,1419
14,814.8353764,1240.161534,-277.5812821,275751,1.11679,370,2450,3130,2434,1419
15,1115.158487,1621.080436,-184.2620995,125718,0.93888,507,2450,3130,2434,1419
16,1097.220314,1532.261758,-20.14928791,132933,1.09185,658,2450,3130,2434,1419
1,1664.257043,714.1108488,2380.215527,26039,2.16493,853,8620,4320,5498,4805
2,2241.918665,884.3600269,3264.872428,236453,1.51522,647,8620,4320,5498,4805
3,4162.108167,1715.977739,6005.327498,810051,0.84092,750,8620,4320,5498,4805
4,5616.716457,2221.598693,8175.021044,444213,0.60587,653,8620,4320,5498,4805
5,7074.557969,2835.59329,10268.72192,77767,0.48526,683,8620,4320,5498,4805
6,9912.223759,4106.57334,14286.92388,522954,0.35431,762,8620,4320,5498,4805
7,10690.10048,4211.156257,15572.144,408448,0.31749,644,8620,4320,5498,4805
8,9505.168849,3834.59683,13778.08408,487960,0.36275,698,8620,4320,5498,4805
9,9747.383112,4005.582694,14073.97069,607006,0.35825,742,8620,4320,5498,4805
10,5350.675848,1853.268724,7986.057978,219107,0.58815,397,8620,4320,5498,4805
11,1985.525413,769.2580592,2902.012724,106304,1.69124,608,8620,4320,5498,4805
12,2319.614223,904.5945146,3385.866313,413993,1.45369,622,8620,4320,5498,4805
13,3925.982674,1501.561671,5752.84342,203302,0.84845,581,8620,4320,5498,4805
14,11402.67524,3884.949931,17067.46583,43144,0.27362,370,8620,4320,5498,4805
15,6066.419565,2235.094712,8953.416901,28702,0.53689,507,8620,4320,5498,4805
16,2662.583206,1055.501734,3873.558549,41667,1.27996,658,8620,4320,5498,4805
1,1930.2581,3141.131247,2479.406919,67260,0.3642,853,1050,1000,1089,798
2,1254.955433,2368.507436,1759.967679,374725,0.39603,647,1050,1000,1089,798
3,1458.080194,2529.769137,1944.106926,1510090,0.4115,750,1050,1000,1089,798
4,1188.001889,2229.570146,1660.368446,568856,0.4234,653,1050,1000,1089,798
5,1317.578424,2407.73243,1811.979334,102616,0.40453,683,1050,1000,1089,798
6,1505.942567,2591.107065,1998.080661,1108491,0.40639,762,1050,1000,1089,798
7,1228.764023,2325.697087,1726.239335,793648,0.40203,644,1050,1000,1089,798
8,1320.577391,2383.304817,1802.539943,1196315,0.41497,698,1050,1000,1089,798
9,1448.318043,2527.217125,1937.614679,1896926,0.40875,742,1050,1000,1089,798
10,564.8296364,1573.290647,1022.181569,1176331,0.4373,397,1050,1000,1089,798
11,1157.676558,2272.382589,1663.212173,409655,0.39562,608,1050,1000,1089,798
12,1109.987536,2147.073349,1580.321238,1450708,0.42523,622,1050,1000,1089,798
13,1027.585056,2079.011992,1504.422669,746288,0.41943,581,1050,1000,1089,798
14,558.9998984,1679.540604,1067.181624,295778,0.39356,370,1050,1000,1089,798
15,1125.756811,2516.397578,1756.432896,134326,0.31712,507,1050,1000,1089,798
16,1439.297351,2688.766114,2005.949851,139577,0.35295,658,1050,1000,1089,798
1,-5280.689368,-164.738681,-5280.689368,580,0.55239,853,4690,8460,7757,8701
2,-2357.906499,-224.2389466,-2357.906499,6025,1.32448,647,4690,8460,7757,8701
3,-377.5929823,-24.25597303,-377.5929823,20552,7.99803,750,4690,8460,7757,8701
4,-662.3431265,-61.83569131,-662.3431265,10074,4.70602,653,4690,8460,7757,8701
5,-960.4435401,-81.20368123,-960.4435401,2542,3.21414,683,4690,8460,7757,8701
6,-381.478992,-23.08150816,-381.478992,13687,7.8851,762,4690,8460,7757,8701
7,-359.3276917,-34.48442339,-359.3276917,9471,8.69958,644,4690,8460,7757,8701
8,-555.921505,-44.51715177,-555.921505,20636,5.52596,698,4690,8460,7757,8701
9,-454.0465323,-30.28976206,-454.0465323,25245,6.66892,742,4690,8460,7757,8701
10,-552.3730917,-89.57844091,-552.3730917,17934,6.10638,397,4690,8460,7757,8701
11,-2060.391227,-218.9410032,-2060.391227,5307,1.53466,608,4690,8460,7757,8701
12,-249.6472979,-25.53571471,-249.6472979,22859,12.60979,622,4690,8460,7757,8701
13,-686.3274701,-78.12382303,-686.3274701,11549,4.64647,581,4690,8460,7757,8701
14,-689.3419623,-116.377143,-689.3419623,4742,4.93224,370,4690,8460,7757,8701
15,-378.5923049,-50.70329061,-378.5923049,1941,8.61877,507,4690,8460,7757,8701
16,-372.3637199,-34.22108737,-372.3637199,2191,8.35742,658,4690,8460,7757,8701
1,12936.44519,9501.498336,16723.76936,379,1.02447,853,18860,2580,11800,2919
2,2907.48722,2123.287977,3772.134297,4410,4.48738,647,18860,2580,11800,2919
3,1675.372659,1227.035291,2169.703147,14965,7.849,750,18860,2580,11800,2919
4,2468.19502,1802.786434,3201.865186,8888,5.28848,653,18860,2580,11800,2919
5,3278.659767,2396.782237,4251.005551,2153,3.99035,683,18860,2580,11800,2919
6,4152.548255,3042.320531,5376.669759,8442,3.16962,762,18860,2580,11800,2919
7,1663.096695,1214.427785,2157.792738,6451,7.8432,644,18860,2580,11800,2919
8,4487.337609,3281.738201,5816.614592,12504,2.91888,698,18860,2580,11800,2919
9,1568.13051,1148.236181,2031.100102,13048,8.38068,742,18860,2580,11800,2919
10,4781.244162,3466.467401,6230.898562,7411,2.6765,397,18860,2580,11800,2919
11,4557.494219,3324.574312,5916.894401,2775,2.8542,608,18860,2580,11800,2919
12,1929.213766,1407.872709,2504.037097,11686,6.7499,622,18860,2580,11800,2919
13,1880.473124,1370.698459,2442.543513,6000,6.90305,581,18860,2580,11800,2919
14,2157.856405,1563.220799,2813.493277,2059,5.91791,370,18860,2580,11800,2919
15,2119.000243,1541.270185,2755.997294,942,6.09108,507,18860,2580,11800,2919
16,3634.481089,2655.024897,4714.415736,1145,3.59281,658,18860,2580,11800,2919
1,-825.4308453,-2141.408729,-381.9984942,11880,2.16493,853,8620,10300,5498,10987
2,-1315.320548,-3195.57556,-681.7491849,101056,1.51522,647,8620,10300,5498,10987
3,-2247.53841,-5635.494458,-1105.931599,438462,0.84092,750,8620,10300,5498,10987
4,-3279.581428,-7981.910311,-1695.083104,80549,0.60587,653,8620,10300,5498,10987
5,-4032.889585,-9903.969006,-2054.568685,14097,0.48526,683,8620,10300,5498,10987
6,-5300.443115,-13341.42418,-2590.951427,449081,0.35431,762,8620,10300,5498,10987
7,-6286.812183,-15260.32316,-3263.094901,284201,0.31749,644,8620,10300,5498,10987
8,-5353.549276,-13207.44314,-2707.098553,464641,0.36275,698,8620,10300,5498,10987
9,-5297.976274,-13250.52338,-2618.283322,920607,0.35825,742,8620,10300,5498,10987
10,-3813.65298,-8657.65536,-2181.416305,851461,0.58815,397,8620,10300,5498,10987
11,-1201.485301,-2886.048107,-633.85445,263953,1.69124,608,8620,10300,5498,10987
12,-1388.19143,-3348.031561,-727.8030392,924992,1.45369,622,8620,10300,5498,10987
13,-2426.778243,-5784.666156,-1295.3032,440269,0.84845,581,8620,10300,5498,10987
14,-8296.17718,-18708.42775,-4787.661721,195523,0.27362,370,8620,10300,5498,10987
15,-3972.880851,-9279.368213,-2184.805081,93659,0.53689,507,8620,10300,5498,10987
16,-1548.48589,-3774.336698,-798.462452,80732,1.27996,658,8620,10300,5498,10987
1,1349.966324,1893.662089,-455.8454616,107,1.02447,853,18860,20180,11800,10713
2,262.2911365,386.4170184,-149.9761554,1419,4.48738,647,18860,20180,11800,10713
3,163.0780991,234.0425532,-72.62071601,5382,7.849,750,18860,20180,11800,10713
4,223.6937646,329.0170332,-126.1231961,1066,5.28848,653,18860,20180,11800,10713
5,303.9833599,443.5701129,-159.6351197,346,3.99035,683,18860,20180,11800,10713
6,407.6198409,583.3506856,-176.0463399,5218,3.16962,762,18860,20180,11800,10713
7,149.6838025,220.7007344,-86.18931049,2917,7.8432,644,18860,20180,11800,10713
8,420.7093132,611.5359316,-213.0954339,8068,2.91888,698,18860,20180,11800,10713
9,151.77766,218.2400473,-68.96815056,12089,8.38068,742,18860,20180,11800,10713
10,346.3478423,554.4554455,-344.8533533,10387,2.6765,397,18860,20180,11800,10713
11,398.710672,593.8616775,-249.4569406,2265,2.8542,608,18860,20180,11800,10713
12,170.6691951,253.1889361,-103.4089394,10779,6.7499,622,18860,20180,11800,10713
13,160.9433511,241.6323219,-107.0541282,5341,6.90305,581,18860,20180,11800,10713
14,152.0807177,246.2017841,-160.5296464,2658,5.91791,370,18860,20180,11800,10713
15,170.2489542,261.6941495,-133.4738667,994,6.09108,507,18860,20180,11800,10713
16,330.6604023,485.6922576,-184.2568908,869,3.59281,658,18860,20180,11800,10713